Site,Location,Area,Patient/Person Involved
1275 York Ave,Inpatient Unit,CDU,CDU-Observation
1275 York Ave,Inpatient Unit,Chemo Admission Unit,Inpatient
1275 York Ave,Inpatient Unit,Chemo Admission Unit,Not Applicable
1275 York Ave,Inpatient Unit,Chemo Admission Unit,Visitor
1275 York Ave,Inpatient Unit,Chemo verification,Inpatient
1275 York Ave,Inpatient Unit,Chemo verification,Not Applicable
1275 York Ave,Inpatient Unit,Chemo verification,Visitor
1275 York Ave,Inpatient Unit,Chemo verification - Pediatrics,Inpatient
1275 York Ave,Inpatient Unit,Chemo verification - Pediatrics,Not Applicable
1275 York Ave,Inpatient Unit,Chemo verification - Pediatrics,Visitor
1275 York Ave,Inpatient Unit,ICU,Inpatient
1275 York Ave,Inpatient Unit,ICU,Not Applicable
1275 York Ave,Inpatient Unit,ICU,Visitor
1275 York Ave,Inpatient Unit,Haupt 04,Inpatient
1275 York Ave,Inpatient Unit,Haupt 04,Observation
1275 York Ave,Inpatient Unit,Haupt 04,Not Applicable
1275 York Ave,Inpatient Unit,Haupt 04,Visitor
1275 York Ave,Inpatient Unit,M 04,Inpatient
1275 York Ave,Inpatient Unit,M 04,Not Applicable
1275 York Ave,Inpatient Unit,M 04,Visitor
1275 York Ave,Inpatient Unit,M 05,Inpatient
1275 York Ave,Inpatient Unit,M 05,AXR
1275 York Ave,Inpatient Unit,M 05,Not Applicable
1275 York Ave,Inpatient Unit,M 05,Visitor
1275 York Ave,Inpatient Unit,M 07,Inpatient
1275 York Ave,Inpatient Unit,M 07,Not Applicable
1275 York Ave,Inpatient Unit,M 07,Visitor
1275 York Ave,Inpatient Unit,M 08,Inpatient
1275 York Ave,Inpatient Unit,M 08,Not Applicable
1275 York Ave,Inpatient Unit,M 08,Visitor
1275 York Ave,Inpatient Unit,M 09,Inpatient
1275 York Ave,Inpatient Unit,M 09,Not Applicable
1275 York Ave,Inpatient Unit,M 09,Visitor
1275 York Ave,Inpatient Unit,M 10,Inpatient
1275 York Ave,Inpatient Unit,M 10,Not Applicable
1275 York Ave,Inpatient Unit,M 10,Visitor
1275 York Ave,Inpatient Unit,M 12,Inpatient
1275 York Ave,Inpatient Unit,M 12,Not Applicable
1275 York Ave,Inpatient Unit,M 12,Visitor
1275 York Ave,Inpatient Unit,M 14,Inpatient
1275 York Ave,Inpatient Unit,M 14,Not Applicable
1275 York Ave,Inpatient Unit,M 14,Visitor
1275 York Ave,Inpatient Unit,M 15,Inpatient
1275 York Ave,Inpatient Unit,M 15,Not Applicable
1275 York Ave,Inpatient Unit,M 15,Visitor
1275 York Ave,Inpatient Unit,M 16,Inpatient
1275 York Ave,Inpatient Unit,M 16,Not Applicable
1275 York Ave,Inpatient Unit,M 16,Visitor
1275 York Ave,Inpatient Unit,M 17,Inpatient
1275 York Ave,Inpatient Unit,M 17,AXR
1275 York Ave,Inpatient Unit,M 17,Not Applicable
1275 York Ave,Inpatient Unit,M 17,Visitor
1275 York Ave,Inpatient Unit,M 18,Inpatient
1275 York Ave,Inpatient Unit,M 18,AXR
1275 York Ave,Inpatient Unit,M 18,Not Applicable
1275 York Ave,Inpatient Unit,M 18,Visitor
1275 York Ave,Inpatient Unit,M 18 - SDU C,Inpatient
1275 York Ave,Inpatient Unit,M 18 - SDU C,AXR
1275 York Ave,Inpatient Unit,M 18 - SDU C,Not Applicable
1275 York Ave,Inpatient Unit,M 18 - SDU C,Visitor
1275 York Ave,Inpatient Unit,M 18 - SDU D,Inpatient
1275 York Ave,Inpatient Unit,M 18 - SDU D,AXR
1275 York Ave,Inpatient Unit,M 18 - SDU D,Not Applicable
1275 York Ave,Inpatient Unit,M 18 - SDU D,Visitor
1275 York Ave,Inpatient Unit,M 18 - SDU F,Inpatient
1275 York Ave,Inpatient Unit,M 18 - SDU F,AXR
1275 York Ave,Inpatient Unit,M 18 - SDU F,Not Applicable
1275 York Ave,Inpatient Unit,M 18 - SDU F,Visitor
1275 York Ave,Inpatient Unit,M 19,Inpatient
1275 York Ave,Inpatient Unit,M 19,AXR
1275 York Ave,Inpatient Unit,M 19,Not Applicable
1275 York Ave,Inpatient Unit,M 19,Visitor
1275 York Ave,Inpatient Unit,NACU,Inpatient
1275 York Ave,Inpatient Unit,NACU,Visitor
1275 York Ave,Inpatient Unit,PACC Boarder,Inpatient
1275 York Ave,Inpatient Unit,PACC Boarder,Not Applicable
1275 York Ave,Inpatient Unit,PACC Boarder,Visitor
1275 York Ave,Inpatient Unit,Pediatric ICU,Inpatient
1275 York Ave,Inpatient Unit,Pediatric ICU,Not Applicable
1275 York Ave,Inpatient Unit,Pediatric ICU,Visitor
1275 York Ave,Inpatient Unit,Pediatric Procedure Room,Inpatient
1275 York Ave,Inpatient Unit,Pediatric Procedure Room,Not Applicable
1275 York Ave,Inpatient Unit,Pediatric Procedure Room,Visitor
1275 York Ave,Inpatient Unit,UCC,Inpatient
1275 York Ave,Inpatient Unit,UCC,CDU-Observation
1275 York Ave,Inpatient Unit,UCC,Not Applicable
1275 York Ave,Inpatient Unit,UCC,Visitor
1275 York Ave,Laboratory,Blood Bank,Inpatient
1275 York Ave,Laboratory,Blood Bank,Not Applicable
1275 York Ave,Laboratory,Blood Bank,Outpatient
1275 York Ave,Laboratory,Blood Bank,Visitor
1275 York Ave,Laboratory,Cell Therapy,Inpatient
1275 York Ave,Laboratory,Cell Therapy,Not Applicable
1275 York Ave,Laboratory,Cell Therapy,Outpatient
1275 York Ave,Laboratory,Cell Therapy,Visitor
1275 York Ave,Laboratory,Cellular Immunology,Inpatient
1275 York Ave,Laboratory,Cellular Immunology,Not Applicable
1275 York Ave,Laboratory,Cellular Immunology,Outpatient
1275 York Ave,Laboratory,Cellular Immunology,Visitor
1275 York Ave,Laboratory,Chemistry,Inpatient
1275 York Ave,Laboratory,Chemistry,Not Applicable
1275 York Ave,Laboratory,Chemistry,Outpatient
1275 York Ave,Laboratory,Chemistry,Visitor
1275 York Ave,Laboratory,Cytotherapy,Inpatient
1275 York Ave,Laboratory,Cytotherapy,Not Applicable
1275 York Ave,Laboratory,Cytotherapy,Outpatient
1275 York Ave,Laboratory,Cytotherapy,Visitor
1275 York Ave,Laboratory,Donor Room,Inpatient
1275 York Ave,Laboratory,Donor Room,Not Applicable
1275 York Ave,Laboratory,Donor Room,Outpatient
1275 York Ave,Laboratory,Donor Room,Visitor
1275 York Ave,Laboratory,Emergency Lab,Inpatient
1275 York Ave,Laboratory,Emergency Lab,Not Applicable
1275 York Ave,Laboratory,Emergency Lab,Outpatient
1275 York Ave,Laboratory,Emergency Lab,Visitor
1275 York Ave,Laboratory,Hematology,Inpatient
1275 York Ave,Laboratory,Hematology,Not Applicable
1275 York Ave,Laboratory,Hematology,Outpatient
1275 York Ave,Laboratory,Hematology,Visitor
1275 York Ave,Laboratory,Microbiology,Inpatient
1275 York Ave,Laboratory,Microbiology,Not Applicable
1275 York Ave,Laboratory,Microbiology,Outpatient
1275 York Ave,Laboratory,Microbiology,Visitor
1275 York Ave,Laboratory,Pediatric phlebotomy,Not Applicable
1275 York Ave,Laboratory,Pediatric phlebotomy,Outpatient
1275 York Ave,Laboratory,Pediatric phlebotomy,Visitor
1275 York Ave,Laboratory,POCT,Inpatient
1275 York Ave,Laboratory,POCT,Not Applicable
1275 York Ave,Laboratory,POCT,Visitor
1275 York Ave,Non-Clinical Area,Public Spaces,Inpatient
1275 York Ave,Non-Clinical Area,Public Spaces,Not Applicable
1275 York Ave,Non-Clinical Area,Public Spaces,Outpatient
1275 York Ave,Non-Clinical Area,Public Spaces,Visitor
1275 York Ave,Non-Clinical Area,Transition Lounge,Inpatient
1275 York Ave,Non-Clinical Area,Transition Lounge,Not Applicable
1275 York Ave,Non-Clinical Area,Transition Lounge,Outpatient
1275 York Ave,Non-Clinical Area,Transition Lounge,Visitor
1275 York Ave,Pathology,Bone Marrow,Inpatient
1275 York Ave,Pathology,Bone Marrow,Not Applicable
1275 York Ave,Pathology,Bone Marrow,Outpatient
1275 York Ave,Pathology,Bone Marrow,Visitor
1275 York Ave,Pathology,Cell marker,Inpatient
1275 York Ave,Pathology,Cell marker,Not Applicable
1275 York Ave,Pathology,Cell marker,Outpatient
1275 York Ave,Pathology,Cell marker,Visitor
1275 York Ave,Pathology,Cytogenetics,Inpatient
1275 York Ave,Pathology,Cytogenetics,Not Applicable
1275 York Ave,Pathology,Cytogenetics,Outpatient
1275 York Ave,Pathology,Cytogenetics,Visitor
1275 York Ave,Pathology,Cytology,Inpatient
1275 York Ave,Pathology,Cytology,Not Applicable
1275 York Ave,Pathology,Cytology,Outpatient
1275 York Ave,Pathology,Cytology,Visitor
1275 York Ave,Pathology,Molecular genetics,Inpatient
1275 York Ave,Pathology,Molecular genetics,Not Applicable
1275 York Ave,Pathology,Molecular genetics,Outpatient
1275 York Ave,Pathology,Molecular genetics,Visitor
1275 York Ave,Pathology,Molecular oncology,Inpatient
1275 York Ave,Pathology,Molecular oncology,Not Applicable
1275 York Ave,Pathology,Molecular oncology,Outpatient
1275 York Ave,Pathology,Molecular oncology,Visitor
1275 York Ave,Pathology,Morgue,Inpatient
1275 York Ave,Pathology,Morgue,Not Applicable
1275 York Ave,Pathology,Morgue,Outpatient
1275 York Ave,Pathology,Morgue,Visitor
1275 York Ave,Pathology,Surgical pathology,Inpatient
1275 York Ave,Pathology,Surgical pathology,Not Applicable
1275 York Ave,Pathology,Surgical pathology,Outpatient
1275 York Ave,Pathology,Surgical pathology,Visitor
1275 York Ave,Patient Financial Services,Patient Financial Services,Not Applicable
1275 York Ave,Patient Financial Services,Patient Financial Services,Outpatient
1275 York Ave,Patient Financial Services,Patient Financial Services,Visitor
1275 York Ave,Perioperative,Anesthesia - Pain,Inpatient
1275 York Ave,Perioperative,Anesthesia - Pain,AXR
1275 York Ave,Perioperative,Anesthesia - Pain,Not Applicable
1275 York Ave,Perioperative,Anesthesia - Pain,Outpatient
1275 York Ave,Perioperative,Anesthesiology,Inpatient
1275 York Ave,Perioperative,Anesthesiology,AXR
1275 York Ave,Perioperative,Anesthesiology,Not Applicable
1275 York Ave,Perioperative,Anesthesiology,Outpatient
1275 York Ave,Perioperative,Anesthesiology,Visitor
1275 York Ave,Perioperative,Brachytherapy - OR,Visitor
1275 York Ave,Perioperative,Brachytherapy - OR,Not Applicable
1275 York Ave,Perioperative,Brachytherapy - OR,Outpatient
1275 York Ave,Perioperative,CPD,AXR
1275 York Ave,Perioperative,CPD,Inpatient
1275 York Ave,Perioperative,CPD,Not Applicable
1275 York Ave,Perioperative,CPD,Outpatient
1275 York Ave,Perioperative,CPD,Visitor
1275 York Ave,Perioperative,Endoscopy Suite,Inpatient
1275 York Ave,Perioperative,Endoscopy Suite,Not Applicable
1275 York Ave,Perioperative,Endoscopy Suite,Outpatient
1275 York Ave,Perioperative,Endoscopy Suite,Visitor
1275 York Ave,Perioperative,M2 OR,Inpatient
1275 York Ave,Perioperative,M2 OR,AXR
1275 York Ave,Perioperative,M2 OR,Not Applicable
1275 York Ave,Perioperative,M2 OR,Outpatient
1275 York Ave,Perioperative,M2 OR,Visitor
1275 York Ave,Perioperative,M2 PACU,Inpatient
1275 York Ave,Perioperative,M2 PACU,AXR
1275 York Ave,Perioperative,M2 PACU,Not Applicable
1275 York Ave,Perioperative,M2 PACU,Outpatient
1275 York Ave,Perioperative,M2 PACU,Visitor
1275 York Ave,Perioperative,M2 PSC- Endo,Inpatient
1275 York Ave,Perioperative,M2 PSC- Endo,Not Applicable
1275 York Ave,Perioperative,M2 PSC- Endo,Outpatient
1275 York Ave,Perioperative,M2 PSC- Endo,Visitor
1275 York Ave,Perioperative,M2 PSC- IR,Inpatient
1275 York Ave,Perioperative,M2 PSC- IR,AXR
1275 York Ave,Perioperative,M2 PSC- IR,Not Applicable
1275 York Ave,Perioperative,M2 PSC- IR,Outpatient
1275 York Ave,Perioperative,M2 PSC- IR,Visitor
1275 York Ave,Perioperative,M2 PSC- SDH,AXR
1275 York Ave,Perioperative,M2 PSC- SDH,Inpatient
1275 York Ave,Perioperative,M2 PSC- SDH,Not Applicable
1275 York Ave,Perioperative,M2 PSC- SDH,Outpatient
1275 York Ave,Perioperative,M2 PSC- SDH,Visitor
1275 York Ave,Perioperative,M6 PACU,Inpatient
1275 York Ave,Perioperative,M6 PACU,AXR
1275 York Ave,Perioperative,M6 PACU,Not Applicable
1275 York Ave,Perioperative,M6 PACU,Outpatient
1275 York Ave,Perioperative,M6 PACU,Visitor
1275 York Ave,Perioperative,M6 PSC,AXR
1275 York Ave,Perioperative,M6 PSC,Inpatient
1275 York Ave,Perioperative,M6 PSC,Not Applicable
1275 York Ave,Perioperative,M6 PSC,Outpatient
1275 York Ave,Perioperative,M6 PSC,Visitor
1275 York Ave,Perioperative,Main OR,AXR
1275 York Ave,Perioperative,Main OR,Inpatient
1275 York Ave,Perioperative,Main OR,Not Applicable
1275 York Ave,Perioperative,Main OR,Outpatient
1275 York Ave,Perioperative,Main OR,Visitor
1275 York Ave,Pharmacy,ICU,Inpatient
1275 York Ave,Pharmacy,ICU,Not Applicable
1275 York Ave,Pharmacy,ICU,Visitor
1275 York Ave,Pharmacy,M 04/NOU,Inpatient
1275 York Ave,Pharmacy,M 04/NOU,Not Applicable
1275 York Ave,Pharmacy,M 04/NOU,Visitor
1275 York Ave,Pharmacy,M 05,Inpatient
1275 York Ave,Pharmacy,M 05,Not Applicable
1275 York Ave,Pharmacy,M 05,Visitor
1275 York Ave,Pharmacy,M 08,Inpatient
1275 York Ave,Pharmacy,M 08,Not Applicable
1275 York Ave,Pharmacy,M 08,Visitor
1275 York Ave,Pharmacy,M 09,Inpatient
1275 York Ave,Pharmacy,M 09,Not Applicable
1275 York Ave,Pharmacy,M 09,Visitor
1275 York Ave,Pharmacy,M 10,Inpatient
1275 York Ave,Pharmacy,M 10,Not Applicable
1275 York Ave,Pharmacy,M 10,Visitor
1275 York Ave,Pharmacy,M 12,Inpatient
1275 York Ave,Pharmacy,M 12,Not Applicable
1275 York Ave,Pharmacy,M 12,Visitor
1275 York Ave,Pharmacy,M 14,Inpatient
1275 York Ave,Pharmacy,M 14,Not Applicable
1275 York Ave,Pharmacy,M 14,Visitor
1275 York Ave,Pharmacy,M 15,Inpatient
1275 York Ave,Pharmacy,M 15,Not Applicable
1275 York Ave,Pharmacy,M 15,Visitor
1275 York Ave,Pharmacy,M 16,Inpatient
1275 York Ave,Pharmacy,M 16,Not Applicable
1275 York Ave,Pharmacy,M 16,Visitor
1275 York Ave,Pharmacy,M 17,Inpatient
1275 York Ave,Pharmacy,M 17,Not Applicable
1275 York Ave,Pharmacy,M 17,Visitor
1275 York Ave,Pharmacy,M 18,Inpatient
1275 York Ave,Pharmacy,M 18,Not Applicable
1275 York Ave,Pharmacy,M 18,Visitor
1275 York Ave,Pharmacy,M 19,Inpatient
1275 York Ave,Pharmacy,M 19,Not Applicable
1275 York Ave,Pharmacy,M 19,Visitor
1275 York Ave,Pharmacy,Main Pharmacy,Inpatient
1275 York Ave,Pharmacy,Main Pharmacy,Not Applicable
1275 York Ave,Pharmacy,Main Pharmacy,Outpatient
1275 York Ave,Pharmacy,Main Pharmacy,Visitor
1275 York Ave,Pharmacy,OR/SDH,Inpatient
1275 York Ave,Pharmacy,OR/SDH,Not Applicable
1275 York Ave,Pharmacy,OR/SDH,Outpatient
1275 York Ave,Pharmacy,OR/SDH,Visitor
1275 York Ave,Pharmacy,PACC,Not Applicable
1275 York Ave,Pharmacy,PACC,Outpatient
1275 York Ave,Pharmacy,PACC,Visitor
1275 York Ave,Pharmacy,R-5,Inpatient
1275 York Ave,Pharmacy,R-5,Not Applicable
1275 York Ave,Pharmacy,R-5,Visitor
1275 York Ave,Pharmacy,R5 Chemo,Inpatient
1275 York Ave,Pharmacy,R5 Chemo,Not Applicable
1275 York Ave,Pharmacy,R5 Chemo,Outpatient
1275 York Ave,Pharmacy,R5 Chemo,Visitor
1275 York Ave,Pharmacy,Retail pharmacy,Not Applicable
1275 York Ave,Pharmacy,Retail pharmacy,Outpatient
1275 York Ave,Pharmacy,Retail pharmacy,Visitor
1275 York Ave,Pharmacy,UCC,Inpatient
1275 York Ave,Pharmacy,UCC,Not Applicable
1275 York Ave,Pharmacy,UCC,Outpatient
1275 York Ave,Pharmacy,UCC,Visitor
1275 York Ave,Radiation Oncology,Brachytherapy - Procedure Room,Inpatient
1275 York Ave,Radiation Oncology,Brachytherapy - Procedure Room,Not Applicable
1275 York Ave,Radiation Oncology,Brachytherapy - Procedure Room,Outpatient
1275 York Ave,Radiation Oncology,Brachytherapy - Procedure Room,Visitor
1275 York Ave,Radiation Oncology,Chart Coordination,Inpatient
1275 York Ave,Radiation Oncology,Chart Coordination,Not Applicable
1275 York Ave,Radiation Oncology,Chart Coordination,Outpatient
1275 York Ave,Radiation Oncology,Chart Coordination,Visitor
1275 York Ave,Radiation Oncology,Chart Rounds,Inpatient
1275 York Ave,Radiation Oncology,Chart Rounds,Not Applicable
1275 York Ave,Radiation Oncology,Chart Rounds,Outpatient
1275 York Ave,Radiation Oncology,Chart Rounds,Visitor
1275 York Ave,Radiation Oncology,Clinic,Inpatient
1275 York Ave,Radiation Oncology,Clinic,Not Applicable
1275 York Ave,Radiation Oncology,Clinic,Outpatient
1275 York Ave,Radiation Oncology,Clinic,Visitor
1275 York Ave,Radiation Oncology,MRI,Inpatient
1275 York Ave,Radiation Oncology,MRI,Not Applicable
1275 York Ave,Radiation Oncology,MRI,Outpatient
1275 York Ave,Radiation Oncology,MRI,Visitor
1275 York Ave,Radiation Oncology,Simulation - Brachytherapy,Inpatient
1275 York Ave,Radiation Oncology,Simulation - Brachytherapy,Not Applicable
1275 York Ave,Radiation Oncology,Simulation - Brachytherapy,Outpatient
1275 York Ave,Radiation Oncology,Simulation - Brachytherapy,Visitor
1275 York Ave,Radiation Oncology,Simulation - EBRT,Inpatient
1275 York Ave,Radiation Oncology,Simulation - EBRT,Not Applicable
1275 York Ave,Radiation Oncology,Simulation - EBRT,Outpatient
1275 York Ave,Radiation Oncology,Simulation - EBRT,Visitor
1275 York Ave,Radiation Oncology,Treatment,Inpatient
1275 York Ave,Radiation Oncology,Treatment,Not Applicable
1275 York Ave,Radiation Oncology,Treatment,Outpatient
1275 York Ave,Radiation Oncology,Treatment,Visitor
1275 York Ave,Radiation Oncology,Treatment Planning - Brachytherapy,Inpatient
1275 York Ave,Radiation Oncology,Treatment Planning - Brachytherapy,Not Applicable
1275 York Ave,Radiation Oncology,Treatment Planning - Brachytherapy,Outpatient
1275 York Ave,Radiation Oncology,Treatment Planning - Brachytherapy,Visitor
1275 York Ave,Radiation Oncology,Treatment Planning - EBRT,Inpatient
1275 York Ave,Radiation Oncology,Treatment Planning - EBRT,Not Applicable
1275 York Ave,Radiation Oncology,Treatment Planning - EBRT,Outpatient
1275 York Ave,Radiation Oncology,Treatment Planning - EBRT,Visitor
1275 York Ave,Radiology,CIGI-Interventional Radiology,Inpatient
1275 York Ave,Radiology,CIGI-Interventional Radiology,Not Applicable
1275 York Ave,Radiology,CIGI-Interventional Radiology,Outpatient
1275 York Ave,Radiology,CIGI-Interventional Radiology,CDU-Observation
1275 York Ave,Radiology,CIGI-Interventional Radiology,Visitor
1275 York Ave,Radiology,CIGI-MRI,Inpatient
1275 York Ave,Radiology,CIGI-MRI,Not Applicable
1275 York Ave,Radiology,CIGI-MRI,Outpatient
1275 York Ave,Radiology,CIGI-MRI,CDU-Observation
1275 York Ave,Radiology,CIGI-MRI,Visitor
1275 York Ave,Radiology,CT,Inpatient
1275 York Ave,Radiology,CT,Not Applicable
1275 York Ave,Radiology,CT,Outpatient
1275 York Ave,Radiology,CT,CDU-Observation
1275 York Ave,Radiology,CT,Visitor
1275 York Ave,Radiology,Cyclotron/RMIP (Radiochemistry & Imaging Probe),Inpatient
1275 York Ave,Radiology,Cyclotron/RMIP (Radiochemistry & Imaging Probe),Not Applicable
1275 York Ave,Radiology,Cyclotron/RMIP (Radiochemistry & Imaging Probe),Outpatient
1275 York Ave,Radiology,Cyclotron/RMIP (Radiochemistry & Imaging Probe),CDU-Observation
1275 York Ave,Radiology,Cyclotron/RMIP (Radiochemistry & Imaging Probe),Visitor
1275 York Ave,Radiology,General Radiology,Inpatient
1275 York Ave,Radiology,General Radiology,Not Applicable
1275 York Ave,Radiology,General Radiology,Outpatient
1275 York Ave,Radiology,General Radiology,CDU-Observation
1275 York Ave,Radiology,General Radiology,Visitor
1275 York Ave,Radiology,Interventional Radiology,Inpatient
1275 York Ave,Radiology,Interventional Radiology,Not Applicable
1275 York Ave,Radiology,Interventional Radiology,Outpatient
1275 York Ave,Radiology,Interventional Radiology,CDU-Observation
1275 York Ave,Radiology,Interventional Radiology,Visitor
1275 York Ave,Radiology,Mammography,Inpatient
1275 York Ave,Radiology,Mammography,Not Applicable
1275 York Ave,Radiology,Mammography,Outpatient
1275 York Ave,Radiology,Mammography,CDU-Observation
1275 York Ave,Radiology,Mammography,Visitor
1275 York Ave,Radiology,MITS (Molecular Imaging & Therapy Services),Inpatient
1275 York Ave,Radiology,MITS (Molecular Imaging & Therapy Services),Not Applicable
1275 York Ave,Radiology,MITS (Molecular Imaging & Therapy Services),Outpatient
1275 York Ave,Radiology,MITS (Molecular Imaging & Therapy Services),CDU-Observation
1275 York Ave,Radiology,MITS (Molecular Imaging & Therapy Services),Visitor
1275 York Ave,Radiology,MRI,Inpatient
1275 York Ave,Radiology,MRI,Not Applicable
1275 York Ave,Radiology,MRI,Outpatient
1275 York Ave,Radiology,MRI,CDU-Observation
1275 York Ave,Radiology,MRI,Visitor
1275 York Ave,Radiology,US,Inpatient
1275 York Ave,Radiology,US,Not Applicable
1275 York Ave,Radiology,US,Outpatient
1275 York Ave,Radiology,US,CDU-Observation
1275 York Ave,Radiology,US,Visitor
53rd Street,Ambulatory/Clinic,4th floor chemo unit,Not Applicable
53rd Street,Ambulatory/Clinic,4th floor chemo unit,Outpatient
53rd Street,Ambulatory/Clinic,4th floor chemo unit,Visitor
53rd Street,Ambulatory/Clinic,5th floor chemo unit,Not Applicable
53rd Street,Ambulatory/Clinic,5th floor chemo unit,Outpatient
53rd Street,Ambulatory/Clinic,5th floor chemo unit,Visitor
53rd Street,Ambulatory/Clinic,6th floor chemo unit,Not Applicable
53rd Street,Ambulatory/Clinic,6th floor chemo unit,Outpatient
53rd Street,Ambulatory/Clinic,6th floor chemo unit,Visitor
53rd Street,Ambulatory/Clinic,7th floor chemo unit,Not Applicable
53rd Street,Ambulatory/Clinic,7th floor chemo unit,Outpatient
53rd Street,Ambulatory/Clinic,7th floor chemo unit,Visitor
53rd Street,Ambulatory/Clinic,9th floor chemo unit,Not Applicable
53rd Street,Ambulatory/Clinic,9th floor chemo unit,Outpatient
53rd Street,Ambulatory/Clinic,9th floor chemo unit,Visitor
53rd Street,Ambulatory/Clinic,Adult Survivorship,Not Applicable
53rd Street,Ambulatory/Clinic,Adult Survivorship,Outpatient
53rd Street,Ambulatory/Clinic,Adult Survivorship,Visitor
53rd Street,Ambulatory/Clinic,Cardiology/Medical Consult,Not Applicable
